Client_Name,Client_ID,Risk_Profile,Risk_Profile_Desc,Investment_Objective,Knowledge_and_Experience,Client_Name_1,Client_ID_1,Ticker,Units,Date_of_Purchase,Unit_Price,Market_Value,Concentration
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,MOS,24,2021-09-09,31.43248558,754.3796539,1
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,WMT,10,2021-10-07,138.1473083,1381.473083,1
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,IVZ,24,2021-12-31,22.84851074,548.3642578,1
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,MRO,21,2022-02-10,21.33934021,448.1261444,1
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,BA,10,2021-12-27,203.1699982,2031.699982,2
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,BR,19,2021-10-22,182.6015015,3469.428529,2
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,IQV,27,2021-10-12,238.3699951,6435.989868,4
Abdul,C119,1,Aggressive,3,Yes,Abdul,C119,NOW,14,2021-10-08,617.5800171,8646.120239,5
Annie,C101,1,Aggressive,3,Yes,Annie,C101,IRM,12,2022-01-18,43.5503273,522.6039276,1
Annie,C101,1,Aggressive,3,Yes,Annie,C101,NXPI,10,2021-11-19,219.6544189,2196.544189,2
Annie,C101,1,Aggressive,3,Yes,Annie,C101,DXCM,6,2022-01-28,413.3900146,2480.340088,2
Annie,C101,1,Aggressive,3,Yes,Annie,C101,EFX,12,2021-11-10,276.3959961,3316.751953,3
Annie,C101,1,Aggressive,3,Yes,Annie,C101,BDX,30,2021-11-18,241.582489,7247.47467,5
Avery,C130,3,Conservative,1,No,Avery,C130,SYF,22,2022-03-07,34.75999832,764.719963,0
Avery,C130,3,Conservative,1,No,Avery,C130,TSCO,4,2021-11-10,215.839798,863.359192,1
Avery,C130,3,Conservative,1,No,Avery,C130,PNR,14,2022-01-14,65.90060425,922.6084595,1
Avery,C130,3,Conservative,1,No,Avery,C130,LDOS,4,2022-02-03,89.66233063,358.6493225,1
Avery,C130,3,Conservative,1,No,Avery,C130,TAP,8,2022-01-28,47.85163116,382.8130493,1
Avery,C130,3,Conservative,1,No,Avery,C130,LVS,24,2021-10-18,40.04000092,960.9600221,1
Avery,C130,3,Conservative,1,No,Avery,C130,AMCR,26,2022-02-04,11.44323254,297.524046,1
Avery,C130,3,Conservative,1,No,Avery,C130,RCL,17,2021-09-13,83.83999634,1425.279938,1
Avery,C130,3,Conservative,1,No,Avery,C130,ABBV,24,2021-10-07,108.4169464,2602.006714,2
Avery,C130,3,Conservative,1,No,Avery,C130,HD,11,2021-10-14,340.5776062,3746.353668,3
Avery,C130,3,Conservative,1,No,Avery,C130,MSFT,20,2021-10-06,291.9710083,5839.420166,4
Elias,C108,2,Moderate,2,Yes,Elias,C108,STZ,2,2021-10-15,217.4981232,434.9962464,1
Elias,C108,2,Moderate,2,Yes,Elias,C108,AAPL,16,2022-01-10,171.9709015,2751.534424,1
Elias,C108,2,Moderate,2,Yes,Elias,C108,MCK,7,2021-10-29,207.0883484,1449.618439,1
Elias,C108,2,Moderate,2,Yes,Elias,C108,FANG,2,2021-09-13,76.78245544,153.5649109,1
Elias,C108,2,Moderate,2,Yes,Elias,C108,KMI,22,2021-11-12,16.42235756,361.2918663,1
Elias,C108,2,Moderate,2,Yes,Elias,C108,FDX,7,2021-10-15,227.6452484,1593.516739,1
Elon ,C203,1,Aggressive,3,Yes,Elon ,C203,TT,15,2021-11-01,179.9728699,2699.593049,0
Elon ,C203,1,Aggressive,3,Yes,Elon ,C203,PLD,19,2021-10-18,138.5247498,2631.970246,0
Elon ,C203,1,Aggressive,3,Yes,Elon ,C203,AVY,3,2021-12-29,216.2721252,648.8163756,1
Elon ,C203,1,Aggressive,3,Yes,Elon ,C203,MCD,24,2021-09-30,238.4541626,5722.899902,2
Ethan,C204,2,Moderate,2,Yes,Ethan,C204,PENN,6,2022-02-02,45.66999817,274.019989,1
Ethan,C204,2,Moderate,2,Yes,Ethan,C204,PENN,13,2021-12-08,52.93999863,688.2199822,1
Ethan,C204,2,Moderate,2,Yes,Ethan,C204,HCA,27,2022-01-31,239.5468445,6467.764801,2
Gavin,C112,3,Conservative,1,No,Gavin,C112,WYNN,14,2022-03-07,72.06999969,1008.979996,1
Gavin,C112,3,Conservative,1,No,Gavin,C112,GLW,11,2021-12-16,36.85272598,405.3799858,1
Gavin,C112,3,Conservative,1,No,Gavin,C112,RSG,7,2021-09-16,122.7532578,859.2728046,1
Gavin,C112,3,Conservative,1,No,Gavin,C112,ZION,7,2022-02-09,72.56700897,507.9690628,1
Gavin,C112,3,Conservative,1,No,Gavin,C112,DLTR,13,2021-11-26,141.1100006,1834.430008,2
Gavin,C112,3,Conservative,1,No,Gavin,C112,AIZ,16,2021-12-07,155.3312683,2485.300293,2
Gavin,C112,3,Conservative,1,No,Gavin,C112,SNPS,13,2021-10-13,296.2999878,3851.899841,3
Gavin,C112,3,Conservative,1,No,Gavin,C112,GOOGL,8,2021-11-03,2931.959961,23455.67969,5
Gavin,C112,3,Conservative,1,No,Gavin,C112,LH,29,2021-10-08,278.3399963,8071.859893,5
Gavin,C112,3,Conservative,1,No,Gavin,C112,EPAM,26,2021-10-28,670.5300293,17433.78076,5
Julie,C114,2,Moderate,2,Yes,Julie,C114,IVZ,27,2021-09-15,25.10453796,677.8225249,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,VRTX,9,2021-12-30,222.4499969,2002.049972,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,BMY,9,2021-10-27,55.58906555,500.30159,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,MAR,3,2022-01-25,157.0299988,471.0899964,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,FIS,18,2021-11-29,104.461998,1880.315964,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,WRK,8,2022-02-18,46.65000153,373.2000122,1
Julie,C114,2,Moderate,2,Yes,Julie,C114,BBY,28,2022-03-14,93.80130005,2626.436401,2
Julie,C114,2,Moderate,2,Yes,Julie,C114,LRCX,6,2021-10-12,543.8377075,3263.026245,2
Julie,C114,2,Moderate,2,Yes,Julie,C114,NUE,21,2022-03-09,129.578064,2721.139344,2
Julie,C114,2,Moderate,2,Yes,Julie,C114,AKAM,30,2021-12-21,115.8000031,3474.000093,2
Julie,C114,2,Moderate,2,Yes,Julie,C114,EXR,25,2022-02-16,189.3038788,4732.59697,3
Lilly,C103,3,Conservative,1,No,Lilly,C103,COP,28,2021-10-08,73.67465973,2062.890472,0
Lilly,C103,3,Conservative,1,No,Lilly,C103,NTAP,6,2021-11-12,88.74594879,532.4756927,1
Lilly,C103,3,Conservative,1,No,Lilly,C103,NRG,20,2021-10-04,39.65826035,793.165207,1
